scaffold_id	structure	bms	sk_struct	idx	closest_order	bucket_id	embedded_hs_coordinates	Dim_1	Dim_2
scaffold.506214	O=C1OC[C@H]2CCC3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6OCCC[C@H]6O[C@H]6CC[C@H](O[C@H]7C[C@@H](O[C@H]8CCCCO8)CCO7)CO6)CCC5C4=CC[C@]132	O=C1OC[C@H]2CCC3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6OCCC[C@H]6O[C@H]6CC[C@H](O[C@H]7C[C@@H](O[C@H]8CCCCO8)CCO7)CO6)CCC5C4=CC[C@]132	48 4 8 9 1 6 0 1 9 0 0 9 0 10 0 0 10 0 0 0 0 4 3 0 1 0 5 6 2 11 1 11	868	55009	1013	29;3	29	3
scaffold.507303	O=C1CC2[C@@H]3CC[C@H]4C[C@@H](O[C@@H]5OCCC[C@H]5O[C@H]5CC[C@H](O[C@H]6C[C@@H](O[C@H]7CCCCO7)CCO6)CO5)CCC4C3=CC[C@@]23C(=O)OC[C@@H]13	O=C1CC2[C@@H]3CC[C@H]4C[C@@H](O[C@@H]5OCCC[C@H]5O[C@H]5CC[C@H](O[C@H]6C[C@@H](O[C@H]7CCCCO7)CCO6)CO5)CCC4C3=CC[C@@]23C(=O)OC[C@@H]13	48 4 8 9 1 6 0 1 9 0 0 9 0 11 0 0 11 0 0 0 0 4 3 0 1 0 5 6 2 11 2 11	869	55010	1013	29;3	29	3
scaffold.509505	O=C(NS(=O)(=O)c1ccc2ccccc2c1)c1ccc(-c2cnn(-c3ccc(Oc4ccccc4)cc3)c2)c(C(=O)N2CCc3ccccc3C2)c1	O=C(NS(=O)(=O)c1ccc2ccccc2c1)c1ccc(-c2cnn(-c3ccc(Oc4ccccc4)cc3)c2)c(C(=O)N2CCc3ccccc3C2)c1	48 5 8 8 0 6 7 1 15 0 6 1 8 10 0 1 5 4 0 2 0 0 0 2 4 0 5 5 1 12 4 12	870	55011	1013	29;3	29	3
scaffold.507824	O=C(/C=C/c1ccc(C(=O)Nc2ccc(-c3ccc(-c4ccc(-c5ccc[nH+]c5)cc4)cc3)cc2)cc1)Nc1ccc(-c2ccc[nH+]c2)cc1	O=C(/C=C/c1ccc(C(=O)Nc2ccc(-c3ccc(-c4ccc(-c5ccc[nH+]c5)cc4)cc3)cc2)cc1)Nc1ccc(-c2ccc[nH+]c2)cc1	48 6 8 7 0 6 7 0 4 0 0 0 4 6 0 0 2 4 0 0 0 0 0 0 2 1 4 0 0 11 2 11	871	55012	1013	29;3	29	3
scaffold.511104	O=C1CN2CCN(CC2)CC(=O)Nc2ccc(cc2)C[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@H](C(=O)NCc2ccccc2)Cc2ccc(cc2)N1	O=C1CN2CCN(CC2)CC(=O)Nc2ccc(cc2)C[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@H](C(=O)NCc2ccccc2)Cc2ccc(cc2)N1	48 6 8 10 0 24 4 30 17 0 6 0 11 14 0 1 6 7 0 1 0 0 6 2 6 0 0 2 0 7 6 7	872	55013	1013	29;3	29	3
scaffold.510624	O=C1CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CC2CCCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)CCc2ccccc2)CCCN1	O=C1CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CC2CCCCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)CCc2ccccc2)CCCN1	48 6 9 6 0 18 3 0 9 0 0 0 9 13 0 0 6 7 0 0 0 0 5 0 6 0 3 2 1 5 6 5	873	55014	1013	29;3	29	3
scaffold.508728	O=C(NS(=O)(=O)c1ccc(NC2CCNCC2)cc1)c1ccc(N2CCN(CC3=C(c4ccccc4)CCCC3)CC2)cc1Oc1ccccc1	O=C(NS(=O)(=O)c1ccc(NC2CCNCC2)cc1)c1ccc(N2CCN(CC3=C(c4ccccc4)CCCC3)CC2)cc1Oc1ccccc1	48 6 10 7 0 6 4 1 16 0 6 1 9 10 0 1 4 5 0 1 0 0 2 2 3 0 2 3 0 8 3 8	874	55015	1013	29;3	29	3
scaffold.508730	O=C(NS(=O)(=O)c1ccc(NC2CCNCC2)cc1)c1ccc(N2CCN(CC3=C(c4ccccc4)CCOC3)CC2)cc1Oc1ccccc1	O=C(NS(=O)(=O)c1ccc(NC2CCNCC2)cc1)c1ccc(N2CCN(CC3=C(c4ccccc4)CCOC3)CC2)cc1Oc1ccccc1	48 6 10 7 0 6 4 1 17 0 6 2 9 11 0 1 5 5 0 1 0 0 2 2 3 0 2 3 0 8 3 8	875	55016	1013	29;3	29	3
scaffold.508550	O=C(NCCCN1CCNCC1)c1c[nH]c(-c2ccccc2)c1-c1cccc(N2CCN(c3ccc(NS(=O)(=O)c4ccccc4)cc3)CC2)c1	O=C(NCCCN1CCNCC1)c1c[nH]c(-c2ccccc2)c1-c1cccc(N2CCN(c3ccc(NS(=O)(=O)c4ccccc4)cc3)CC2)c1	48 7 9 7 0 6 5 0 19 0 6 0 13 11 0 1 3 7 0 1 0 0 4 2 3 0 6 1 4 10 3 10	876	55017	1013	29;3	29	3
scaffold.509407	O=C1CCCCOC(=O)C[C@@H](O[C@H]2CC[C@@H](OC(=O)NNC(=O)c3ccc4[nH]c(-c5ccccc5)nc4c3)CO2)C[C@@H](O[C@H]2CCCCO2)CCC1	O=C1CCCCOC(=O)C[C@@H](O[C@H]2CC[C@@H](OC(=O)NNC(=O)c3ccc4[nH]c(-c5ccccc5)nc4c3)CO2)C[C@@H](O[C@H]2CCCCO2)CCC1	48 7 10 6 0 14 3 0 10 0 0 6 4 14 0 0 10 4 0 1 0 4 2 0 4 0 2 6 0 8 4 8	877	55018	1013	29;3	29	3
