ID	Structure	bms	sk_struct	idx	closest_order	bucket_id	embedded_hs_coordinates	Dim_1	Dim_2
DB00180	CC1(C)O[C@@H]2C[C@H]3[C@@H]4CC(F)C5=CC(=O)C=C[C@]5(C)[C@H]4C(O)C[C@]3(C)[C@@]2(O1)C(=O)CO	O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3OCO[C@@H]3C[C@H]21	20 0 0 5 0 6 0 2 2 0 0 2 0 3 0 0 3 0 0 0 0 1 1 0 0 2 6 1 5 8 1 8	35	20416	24061	46;208	46	208
DB00181	NCC(CC(O)=O)C1=CC=C(Cl)C=C1	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	36	135	160	11;12	11	12
DB00182	CC(N)CC1=CC=CC=C1	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	37	135	160	11;12	11	12
DB00183	CSCCC(NC(=O)C(CC1=C[NH]C2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(O)=O)C(=O)NC(CC3=CC=CC=C3)C(N)=O	O=C(CCc1c[nH]c2ccccc12)NCC(=O)NCC(=O)NCCc1ccccc1	27 12 13 3 0 6 3 0 4 0 0 0 4 7 0 0 3 4 0 0 0 0 2 0 3 0 2 0 1 1 3 1	38	45588	53725	181;107	181	107
DB00184	CN1CCCC1C2=CC=CN=C2	c1cncc(C2CCCN2)c1	11 0 0 2 0 6 1 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0	39	1209	1426	9;60	9	60
DB00185	CC1O[C@@]2(CS1)CN3CCC2CC3	C1O[C@@]2(CS1)CN1CCC2CC1	12 0 0 4 1 6 0 0 5 0 1 1 3 3 0 1 1 1 0 0 0 1 2 0 0 0 1 1 0 3 0 3	40	2081	2453	40;62	40	62
DB00186	OC1N=C(C2=C(Cl)C=CC=C2)C3=C(NC1=O)C=CC(=C3)Cl	O=C1CN=C(c2ccccc2)c2ccccc2N1	17 0 0 3 0 7 2 2 2 0 0 0 2 3 0 0 1 2 0 0 0 0 1 0 1 0 1 0 0 1 1 1	41	10592	12483	49;121	49	121
DB00187	COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	42	135	160	11;12	11	12
DB00188	CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)B(O)O	O=C(NCCc1ccccc1)c1cnccn1	16 4 5 2 0 6 2 0 3 0 0 0 3 4 0 0 1 3 0 0 0 0 3 0 1 0 0 0 0 0 1 0	43	9674	11402	85;116	85	116
DB00190	C[C@@](CC1=CC(=C(O)C=C1)O)(NN)C(O)=O	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	44	135	160	11;12	11	12
DB00191	CC(C)(N)CC1=CC=CC=C1	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	45	135	160	11;12	11	12
DB00192	CC(C)NCCCC1(C(N)=O)C2=C(C=CC=C2)C3=C1C=CC=C3	c1ccc2c(c1)Cc1ccccc1-2	13 0 0 3 0 6 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 2 3 0 3	46	2692	3173	59;17	59	17
DB00193	COC1=CC=CC(=C1)[C@@]2(O)CCCCC2CN(C)C	c1ccc(C2CCCCC2)cc1	12 0 0 2 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0	47	1816	2141	45;35	45	35
DB00194	NC1=NC=NC2=C1N=C[N]2C3OC(CO)C(O)C3O	c1ncc2ncn(C3CCCO3)c2n1	14 0 0 3 0 6 2 0 7 0 0 1 6 5 0 0 1 4 0 0 0 4 3 0 0 0 3 0 2 2 0 2	48	4232	4988	87;10	87	10
DB00195	CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1	c1ccc(CCOCC2CC2)cc1	13 4 5 2 0 6 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	49	3934	4637	85;19	85	19
DB00196	OC(C[N]1C=NC=N1)(C[N]2C=NC=N2)C3=C(F)C=C(F)C=C3	c1ccc(C(Cn2cncn2)Cn2cncn2)cc1	19 3 5 3 0 6 3 0 10 0 0 0 10 6 0 0 0 6 3 2 0 4 0 0 0 0 1 2 0 2 0 2	50	19063	22466	24;225	24	225
DB00198	CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1	C1=CCCCC1	6 0 0 1 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	51	191	226	11;2	11	2
DB00199	CCC1OC(=O)C(C)C(OC2C[C@@](C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)[C@](C)(O)CC(C)C(=O)C(C)C(O)[C@]1(C)O	O=C1CCCCOC(=O)CC(OC2CCCCO2)CC(OC2CCCCO2)CCC1	28 2 4 3 0 14 0 0 5 0 0 5 0 7 0 0 7 0 0 0 0 2 0 0 1 0 0 3 0 0 2 0	52	46154	54392	154;117	154	117
DB00204	CN(CCOC1=CC=C(N[S](C)(=O)=O)C=C1)CCC2=CC=C(N[S](C)(=O)=O)C=C2	c1ccc(CCNCCOc2ccccc2)cc1	18 6 7 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0	53	16117	18994	55;178	55	178
DB00205	CCC1=NC(=NC(=C1C2=CC=C(Cl)C=C2)N)N	c1ccc(-c2cncnc2)cc1	12 0 0 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0	54	1878	2214	47;44	47	44
DB00206	COC1C(C[C@@H]2CN3CCC4=C([NH]C5=C4C=CC(=C5)OC)[C@H]3C[C@@H]2C1C(=O)OC)OC(=O)C6=CC(=C(OC)C(=C6)OC)OC	O=C(OC1CC[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C1)c1ccccc1	29 2 3 6 0 6 3 1 5 0 0 1 4 4 0 0 2 2 0 0 0 0 1 0 1 0 6 4 4 15 1 15	55	47805	56338	161;68	161	68
DB00207	CCC1OC(=O)C(C)C(OC2C[C@@](C)(OC)C(O)C(C)O2)C(C)C(OC3OC(C)CC(C3O)N(C)C)[C@](C)(O)CC(C)CN(C)C(C)C(O)[C@]1(C)O	O=C1CC(OC2CCCCO2)CC(OC2CCCCO2)CCCCNCCCCO1	29 2 4 3 0 15 0 0 6 0 0 5 1 7 0 0 6 1 0 0 0 2 0 0 1 0 0 3 0 0 1 0	56	47821	56357	164;70	164	70
DB00208	ClC1=C(CN2CCC3=C(C2)C=CS3)C=CC=C1	c1ccc(CN2CCc3sccc3C2)cc1	16 1 2 3 0 6 2 1 4 0 1 0 3 2 0 1 0 1 0 0 0 0 0 0 0 0 1 2 0 2 0 2	57	8738	10299	96;100	96	100
DB00210	COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(O)=O)C45CC6CC(CC(C6)C4)C5	c1cc(-c2ccc3ccccc3c2)cc(C23CC4CC(CC(C4)C2)C3)c1	26 0 0 7 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 8 0 8 0 8	58	41184	48535	233;159	233	159
DB00211	COC1=CC(=C(OC)C=C1)C(O)CNC(=O)CN	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	59	135	160	11;12	11	12
DB00212	CC(C)(C)[S](=O)(=O)C[C@@H](CC1=CC=CC=C1)C(O)=N[C@@H](CC2=CN=C[NH]2)C(O)=N[C@@H](CC3CCCCC3)[C@@H](O)[C@@H](O)C4CC4	C(CCc1ccccc1)=N[C@H](C=N[C@H](CCC1CC1)CC1CCCCC1)Cc1cnc[nH]1	32 12 15 4 0 6 2 0 4 0 0 0 4 4 0 0 0 4 6 0 0 1 1 0 0 0 0 2 0 1 0 1	60	51927	61196	189;12	189	12
DB00213	COC1=C(OC)C(=NC=C1)C[S](=O)C2=NC3=C([NH]2)C=C(OC(F)F)C=C3	O=S(Cc1ccccn1)c1nc2ccccc2[nH]1	17 2 3 3 0 6 3 0 6 0 3 0 3 5 0 1 1 3 0 0 0 3 2 1 0 0 1 2 0 3 1 3	61	12348	14553	26;86	26	86
DB00214	CC(C)NC(=O)N[S](=O)(=O)C1=C(NC2=CC(=CC=C2)C)C=CN=C1	c1ccc(Nc2ccncc2)cc1	13 1 2 2 0 6 2 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0	62	3300	3890	50;7	50	7
DB00215	CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C3=CC=C(F)C=C3	c1ccc(C2OCc3ccccc32)cc1	15 0 0 3 0 6 2 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 3 0 2 2 0 2	63	5916	6973	111;57	111	57
DB00216	CN1CCCC1CC2=C[NH]C3=C2C=C(CC[S](=O)(=O)C4=CC=CC=C4)C=C3	O=S(=O)(CCc1ccc2[nH]cc(CC3CCCN3)c2c1)c1ccccc1	24 4 6 4 0 6 3 0 8 0 6 0 2 5 0 1 2 2 0 0 0 0 0 2 0 0 2 2 1 5 2 5	64	37099	43721	253;245	253	245
DB00217	CNC(NCC1=CC=CC=C1)=NC	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	65	135	160	11;12	11	12
DB00220	CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(O)CN3C[C@H]4CCCC[C@H]4CC3C(=O)NC(C)(C)C	O=C(NC(CCN1CC[C@@H]2CCCC[C@@H]2C1)CSc1ccccc1)c1ccccc1	29 7 9 4 0 6 2 0 5 0 1 0 4 4 0 1 1 2 3 0 0 0 1 0 1 0 1 1 0 5 1 5	66	48713	57408	184;63	184	63
DB00221	CCC(NC(C)C)C(O)C1=CC(=C(O)C=C1)O	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	67	135	160	11;12	11	12
DB00222	CCC1=C(C)CN(C(O)=NCCC2=CC=C(C=C2)[S](=O)(=O)NC(O)=N[C@H]3CC[C@H](C)CC3)C1=O	O=C1C=CCN1C=NCCc1ccc(S(=O)(=O)NC=NC2CCCCC2)cc1	25 8 10 3 0 6 1 1 12 0 6 0 6 8 0 1 3 4 0 1 0 0 0 2 5 1 0 0 0 2 3 2	68	40873	48169	230;134	230	134
DB00223	CC1C[C@H]2[C@@H]3CC(F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)C(O)C[C@]2(C)[C@@]1(O)C(=O)CO	O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21	17 0 0 4 0 6 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 2 4 0 3 3 1 3	69	10765	12687	37;119	37	119
DB00224	CC(C)(C)NC(=O)C1CN(CCN1CC(O)CC(CC2=CC=CC=C2)C(=O)NC3C(O)CC4=C3C=CC=C4)CC5=CC=CN=C5	O=C(NC1CCc2ccccc21)C(CCCN1CCN(Cc2cccnc2)CC1)Cc1ccccc1	35 8 11 5 0 6 3 1 8 0 0 0 8 5 0 0 1 4 3 0 0 0 2 0 1 0 2 2 1 4 1 4	70	53276	62785	192;56	192	56
DB00226	NC(N)=NCC1COC2(CCCCC2)O1	C1CCC2(CC1)OCCO2	10 0 0 2 1 6 0 0 2 0 0 2 0 2 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	71	1102	1300	5;48	5	48
DB00227	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)[C@@H]12	O=C1CCCC(CCC2CC=CC3=CCCC[C@@H]32)O1	18 2 3 3 0 6 0 2 1 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1	72	14662	17280	23;136	23	136
DB00229	CN(C)CC[N]1N=NN=C1SCC2=C(N3[C@H](SC2)C(NC(=O)CC4=CSC(=N4)N)C3=O)C(O)=O	O=C(Cc1cscn1)NC1C(=O)N2C=C(CSc3nnn[nH]3)CS[C@H]12	23 5 7 4 0 6 2 1 12 0 3 0 9 12 0 3 2 7 0 3 2 5 4 0 3 0 2 0 1 1 2 1	73	34263	40379	167;211	167	211
DB00231	CN1C(=O)C(O)N=C(C2=CC=CC=C2)C3=C1C=CC(=C3)Cl	O=C1CN=C(c2ccccc2)c2ccccc2N1	17 0 0 3 0 7 2 2 2 0 0 0 2 3 0 0 1 2 0 0 0 0 1 0 1 0 1 0 0 1 1 1	74	10592	12483	49;121	49	121
DB00232	CN1C(CCl)NC2=C(C=C(C(=C2)Cl)[S](N)(=O)=O)[S]1(=O)=O	O=S1(=O)NCNc2ccccc21	10 0 0 2 0 6 1 1 8 0 6 0 2 5 0 1 2 2 0 1 0 1 1 2 2 0 1 0 0 0 2 0	75	988	1165	11;41	11	41
DB00233	NC1=CC(=C(C=C1)C(O)=O)O	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	76	135	160	11;12	11	12
