bms	order	scaffold_id	scaffold_key
O=C1CC2N1CC(Cn1ccnn1)S2(=O)=O	63	CHEMBL404	13 1 2 3 0 5 1 0 14 0 6 0 8 8 0 1 3 4 0 2 1 1 3 2 1 0 1 2 0 3 3 3 AOXCCFPPNIHDRP-UHFFFAOYSA-N
O=C1CCC(C=CCCC2CCC2)C1	64	CHEMBL271896	13 4 5 2 0 5 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 YFJFZKRFQMUMEH-UHFFFAOYSA-N
O=C1CCOC2OC3CCCCC3OC12	65	CHEMBL1200407	14 0 0 3 0 6 0 0 3 0 0 3 0 4 0 0 4 0 0 0 0 1 3 0 0 0 2 2 0 4 1 4 KYYXCNJLXDEJHO-UHFFFAOYSA-N
c1ccc(C2CC3CCC(C2)N3)cc1	66	CHEMBL2096623	14 0 0 3 0 6 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 3 0 3 0 3 ORRDHOXURKUQRK-UHFFFAOYSA-N
c1ccc2c(c1)OCC1CCCCC21	67	CHEMBL2105525	14 0 0 3 0 6 1 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 3 0 2 2 0 2 DWZZSIPYQQFGLL-UHFFFAOYSA-N
O=C1CCC2COc3ccccc3C2C1	68	CHEMBL2218896	14 0 0 3 0 6 1 1 1 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 3 0 2 2 1 2 SJQMAFWGHHENKS-UHFFFAOYSA-N
O=C1OC2CCCOC2c2ccccc21	69	CHEMBL273019	14 0 0 3 0 6 1 1 2 0 0 2 0 3 0 0 3 0 0 0 0 0 1 0 1 0 3 0 2 2 1 2 QLGBEDSGJVIXFN-UHFFFAOYSA-N
C1=CC2c3ccccc3OCC2CC1	70	CHEMBL465	14 0 0 3 0 6 1 2 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 3 0 2 2 0 2 RDAZXZVQLQCKMY-UHFFFAOYSA-N
c1ccc2c(c1)ncn2C1CCCO1	71	CHEMBL515408	14 0 0 3 0 6 2 0 5 0 0 1 4 3 0 0 1 2 0 0 0 2 1 0 0 0 3 0 2 2 0 2 ZRNBULRZQUQJID-UHFFFAOYSA-N
c1ncc2ncn(C3CCCO3)c2n1	72	CHEMBL452867	14 0 0 3 0 6 2 0 7 0 0 1 6 5 0 0 1 4 0 0 0 4 3 0 0 0 3 0 2 2 0 2 DAKONNSVCLKUJN-UHFFFAOYSA-N
c1ncc2ncn(C3COCO3)c2n1	73	CHEMBL458876	14 0 0 3 0 6 2 0 8 0 0 2 6 6 0 0 2 4 0 0 0 5 5 0 0 0 3 0 2 2 0 2 CTBFBILYFBJBGO-UHFFFAOYSA-N
c1ccc2c(c1)Nc1ccccc1S2	74	CHEMBL3833361	14 0 0 3 0 6 2 2 2 0 1 0 1 2 0 1 0 1 0 0 0 0 2 0 0 0 2 2 0 4 0 4 WJFKNYWRSNBZNX-UHFFFAOYSA-N
c1ncc2nc(-n3nccn3)[nH]c2n1	75	CHEMBL197669	14 0 0 3 0 6 3 0 9 0 0 0 9 7 0 0 0 7 0 2 1 5 4 0 0 0 2 2 0 4 0 4 GUWHOBWGFNUQQI-UHFFFAOYSA-N
O=C1C=C[C@]2(CC1)Oc1ccccc1C2=O	76	CHEMBL562	14 0 0 3 1 6 1 2 1 0 0 1 0 3 0 0 3 0 0 0 0 0 0 0 0 1 1 1 0 2 2 2 VHBOIKKQLVGFRE-CYBMUJFWSA-N
C1CCC(COC2CCCCO2)OC1	77	CHEMBL2105765	14 2 3 2 0 6 0 0 3 0 0 3 0 3 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 VVQGFIKJGGTYLH-UHFFFAOYSA-N
O=C(NC1CCCOC1)c1ccccc1	78	CHEMBL1200889	14 2 3 2 0 6 1 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 KSTOAACFCMVXAY-UHFFFAOYSA-N
O=C(NCC1CCCCO1)C1CCCN1	79	CHEMBL2110945	14 3 4 2 0 6 0 0 3 0 0 1 2 4 0 0 2 2 0 0 0 0 2 0 1 0 0 0 0 0 1 0 PXRRDGDUSZYTNQ-UHFFFAOYSA-N
c1coc(-c2cnc3ncncc3n2)c1	80	CHEMBL2105096	15 0 0 3 0 6 3 0 5 0 0 1 4 5 0 0 1 4 0 0 0 2 5 0 0 0 2 1 0 3 0 3 CLFXNIPEJOWFJJ-UHFFFAOYSA-N
O=C1C2C=CCC3CC=C[C@]13CCC1CC12	81	CHEMBL1863513	15 0 0 4 1 7 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 3 1 1 4 1 4 NKRQZLVQHSYMPO-OUZJWQAESA-N
c1ncc2ncn(OC3CCCO3)c2n1	82	CHEMBL2111057	15 1 2 3 0 6 2 0 8 0 0 2 6 6 0 0 2 4 0 1 0 4 3 0 0 0 2 1 1 2 0 2 BDYFQGJFJCEUQR-UHFFFAOYSA-N
O=C(NC1C(=O)N2CCSC12)C1CCCCC1	83	CHEMBL1200356	15 2 3 3 0 6 0 0 5 0 1 0 4 5 0 1 2 2 0 0 0 1 4 0 2 0 2 0 1 2 2 2 DBSSSABSBMWYTC-UHFFFAOYSA-N
O=C(NC1C(=O)N2CCSC12)c1ccccc1	84	CHEMBL1164	15 2 3 3 0 6 1 0 5 0 1 0 4 5 0 1 2 2 0 0 0 1 4 0 2 0 2 0 1 2 2 2 YKSVKENVYPFYFY-UHFFFAOYSA-N
O=C1CC2OCC(CSc3nnn[nH]3)=CN12	85	CHEMBL15413	15 2 3 3 0 6 1 1 9 0 1 1 7 8 0 1 2 5 0 3 2 4 0 0 2 0 1 0 0 1 1 1 ZEYYFWGQYMOCLS-UHFFFAOYSA-N
O=C1CC2SCC(CSc3nnn[nH]3)=CN12	86	CHEMBL1276342	15 2 3 3 0 6 1 1 9 0 2 0 7 8 0 2 1 5 0 3 2 4 0 0 2 0 1 0 0 1 1 1 HIXLVAANHSDQNW-UHFFFAOYSA-N
