scaffold_id	Dim_1	Dim_2	color
scaffold.196953	-27.544104	-37.33682	5
scaffold.159908	-1.093617	6.3338647	5
scaffold.181451	-8.986299	-8.811135	5
scaffold.166315	-56.47418	-35.023624	5
scaffold.162901	-56.455666	-35.073944	5
scaffold.158670	-39.121513	-6.9323354	5
scaffold.162487	-22.871332	-22.964584	5
scaffold.200443	-54.376354	22.712181	5
scaffold.228187	-33.07422	22.555822	5
scaffold.161052	1.3198677	8.130919	5
scaffold.140216	23.74835	-9.65579	5
scaffold.162747	-21.107615	-21.24047	5
scaffold.173564	-44.611683	-24.469353	5
scaffold.163579	-2.7615082	-16.725	5
scaffold.194106	12.22124	19.951483	5
scaffold.172020	-9.188074	-8.061321	5
scaffold.172018	-9.27904	-8.049524	5
scaffold.159971	-7.9525037	-25.770473	5
scaffold.164698	-58.999912	-40.737373	5
scaffold.243621	55.843613	-16.182755	6
scaffold.243681	55.844967	-49.252193	6
scaffold.234536	53.611744	-44.751377	6
scaffold.231711	51.912754	-40.231148	6
scaffold.243194	55.84823	-16.182463	6
scaffold.235153	53.60744	-44.762424	6
scaffold.243270	54.9752	-8.641243	6
scaffold.232847	-19.83486	47.581326	6
scaffold.231123	33.64113	-24.673567	6
scaffold.217298	24.476543	-33.198395	6
scaffold.223531	53.083473	42.024845	6
scaffold.269851	-31.622623	48.40445	6
scaffold.214198	56.85348	-2.6660905	6
scaffold.222863	-5.704397	40.900127	6
scaffold.216626	20.249327	-41.81376	6
scaffold.243428	61.21352	-27.84007	6
scaffold.280558	-41.20627	42.140614	6
scaffold.294351	-41.818596	41.862633	6
scaffold.242466	38.998505	-47.120953	6
scaffold.218623	-27.294092	45.77605	6
scaffold.242061	-4.025566	80.08565	6
scaffold.214805	-27.367474	15.164544	6
scaffold.218179	-38.751408	27.283161	6
scaffold.216291	-27.363728	15.160842	6
scaffold.219305	13.114246	0.20495564	6
scaffold.219657	3.7729247	-4.552138	6
scaffold.216296	-27.367264	15.166623	6
scaffold.216290	-27.367987	15.165307	6
scaffold.224832	-19.080122	57.58045	6
scaffold.224837	22.772583	-22.407516	6
